invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,receive_weekday_code,receive_weekday_name,receive_day_of_month,receive_week_of_month,receive_month_end_flag,limited_receive_schedule_flag,next_receive_day_gap_decision_time,receive_date_schedule_status,cutoff_date_decision_time,cutoff_derivation_note,days_to_cutoff_source,days_to_cutoff_decision_time,cutoff_value_feature,days_to_cutoff_feature,next_receive_day_gap_feature,observation_id
S202605-0795,CUST172,2026-05-19,2026-05-19,AMIT,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,9,NORMAL,LONG_TIME_TO_CUTOFF,2,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,9,8.0,0.0,8.0,0.0,S202605-0795
93109195,CUST059,2026-05-19,2026-05-19,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,3,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,93109195
S202605-0737,CUST359,2026-05-19,2026-05-21,AMIT,No cut off,NO_CUTOFF,0.0,"1,4","Monday, Thursday",999,HIGH,LIMITED_RECEIVE_DAY,4,Urgent,2,Tuesday,19,3,No,Yes,2.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,2.0,S202605-0737
S202605-1765,CUST382,2026-05-19,2026-05-19,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,4,NORMAL,LONG_TIME_TO_CUTOFF,5,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-25,MONTHLY_DATE; cutoff date selected from receive_date month or next month,4,4.0,25.0,4.0,0.0,S202605-1765
93110546,CUST073,2026-05-19,2026-05-19,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,6,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,93110546
S202605-1312,CUST053,2026-05-19,2026-05-19,SAPX,Max on 20th in every month,MONTHLY_DATE,20.0,"1,2,3,4,5",Everyday,1,HIGH,CUTOFF_NEAR,7,Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-20,MONTHLY_DATE; cutoff date selected from receive_date month or next month,1,1.0,20.0,1.0,0.0,S202605-1312
S202605-1767,CUST498,2026-05-19,2026-05-19,SAPX,End of month ,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,NORMAL,LONG_TIME_TO_CUTOFF,8,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,8,8.0,0.0,8.0,0.0,S202605-1767
S202605-1758,CUST082,2026-05-19,2026-05-19,SAPX,End of month ,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,NORMAL,LONG_TIME_TO_CUTOFF,9,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,8,8.0,0.0,8.0,0.0,S202605-1758
S202605-1311,CUST342,2026-05-19,2026-05-19,ROHMAN,H+7 in the next month,NEXT_MONTH_DATE,7.0,"1,2,3,4,5",Everyday,13,NORMAL,LONG_TIME_TO_CUTOFF,10,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-07,NEXT_MONTH_DATE; date in next month,13,13.0,7.0,13.0,0.0,S202605-1311
S202605-1329,CUST207,2026-05-19,2026-05-19,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,11,Not Urgent,2,Tuesday,19,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-1329
