experiment,fold,feature,importance
E1_80_20,1,cutoff_rule,0.0
E1_80_20,1,receive_day_code,0.5423023488758895
E1_80_20,1,receive_schedule,0.0
E1_80_20,1,receive_date_schedule_status,0.0
E1_80_20,1,receive_month_end_flag,0.03606340556306983
E1_80_20,1,limited_receive_schedule_flag,0.0
E1_80_20,1,cutoff_value_feature,0.0
E1_80_20,1,days_to_cutoff_feature,0.4216342455610407
E1_80_20,1,next_receive_day_gap_feature,0.0
E1_80_20,1,receive_weekday_code,0.0
E1_80_20,1,receive_week_of_month,0.0
E1_80_20,1,receive_day_of_month,0.0
E2_70_30,1,cutoff_rule,0.0
E2_70_30,1,receive_day_code,0.0
E2_70_30,1,receive_schedule,0.0
E2_70_30,1,receive_date_schedule_status,0.0
E2_70_30,1,receive_month_end_flag,0.0
E2_70_30,1,limited_receive_schedule_flag,0.5397362032364609
E2_70_30,1,cutoff_value_feature,0.0
E2_70_30,1,days_to_cutoff_feature,0.4013354475786296
E2_70_30,1,next_receive_day_gap_feature,0.0
E2_70_30,1,receive_weekday_code,0.0
E2_70_30,1,receive_week_of_month,0.0
E2_70_30,1,receive_day_of_month,0.058928349184909565
E3_5_Fold_CV,1,cutoff_rule,0.0
E3_5_Fold_CV,1,receive_day_code,0.0
E3_5_Fold_CV,1,receive_schedule,0.0
E3_5_Fold_CV,1,receive_date_schedule_status,0.0
E3_5_Fold_CV,1,receive_month_end_flag,0.0
E3_5_Fold_CV,1,limited_receive_schedule_flag,0.4952592511328631
E3_5_Fold_CV,1,cutoff_value_feature,0.0
E3_5_Fold_CV,1,days_to_cutoff_feature,0.46987889239661035
E3_5_Fold_CV,1,next_receive_day_gap_feature,0.0
E3_5_Fold_CV,1,receive_weekday_code,0.0
E3_5_Fold_CV,1,receive_week_of_month,0.0
E3_5_Fold_CV,1,receive_day_of_month,0.03486185647052659
E3_5_Fold_CV,2,cutoff_rule,0.0
E3_5_Fold_CV,2,receive_day_code,0.0
E3_5_Fold_CV,2,receive_schedule,0.0
E3_5_Fold_CV,2,receive_date_schedule_status,0.0
E3_5_Fold_CV,2,receive_month_end_flag,0.0
E3_5_Fold_CV,2,limited_receive_schedule_flag,0.5926681097427645
E3_5_Fold_CV,2,cutoff_value_feature,0.0
E3_5_Fold_CV,2,days_to_cutoff_feature,0.37013023515234644
E3_5_Fold_CV,2,next_receive_day_gap_feature,0.0
E3_5_Fold_CV,2,receive_weekday_code,0.0
E3_5_Fold_CV,2,receive_week_of_month,0.0
E3_5_Fold_CV,2,receive_day_of_month,0.037201655104889014
E3_5_Fold_CV,3,cutoff_rule,0.0
E3_5_Fold_CV,3,receive_day_code,0.0
E3_5_Fold_CV,3,receive_schedule,0.0
E3_5_Fold_CV,3,receive_date_schedule_status,0.0
E3_5_Fold_CV,3,receive_month_end_flag,0.0
E3_5_Fold_CV,3,limited_receive_schedule_flag,0.5651867876318722
E3_5_Fold_CV,3,cutoff_value_feature,0.0
E3_5_Fold_CV,3,days_to_cutoff_feature,0.3529677321460405
E3_5_Fold_CV,3,next_receive_day_gap_feature,0.0
E3_5_Fold_CV,3,receive_weekday_code,0.0
E3_5_Fold_CV,3,receive_week_of_month,0.08184548022208718
E3_5_Fold_CV,3,receive_day_of_month,0.0
E3_5_Fold_CV,4,cutoff_rule,0.0
E3_5_Fold_CV,4,receive_day_code,0.0
E3_5_Fold_CV,4,receive_schedule,0.0
E3_5_Fold_CV,4,receive_date_schedule_status,0.0
E3_5_Fold_CV,4,receive_month_end_flag,0.0
E3_5_Fold_CV,4,limited_receive_schedule_flag,0.5494178040295051
E3_5_Fold_CV,4,cutoff_value_feature,0.0
E3_5_Fold_CV,4,days_to_cutoff_feature,0.45058219597049487
