invoice_no,customer_name,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,weekday_receive,expert_label,expert_reason,rule_based_label,rule_based_reason,cutoff_value_feature,receive_date_feature,receive_day_code_feature,next_receive_day_gap_derived,next_receive_day_gap_experiment,missed_receive_schedule_derived,missed_receive_schedule_experiment,month_end_flag_derived,month_end_flag_experiment,Prediction_RuleBased,RuleBased_RuleID,RuleBased_Reason,Experiment_Split,Prediction_DT
S202605-0795,PT. KANAMOTO INDONESIA,CUST172,2026-05-19,2026-05-19,AMIT,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
93109195,PT. DAYA KOBELCO C.M.I ( NON DEPOT ),CUST059,2026-05-19,2026-05-19,ARI,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0737,PT. TRAKTOR NUSANTARA,CUST359,2026-05-19,2026-05-21,AMIT,No cut off,NO_CUTOFF,0.0,"1,4","Monday, Thursday",999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-19,"1,4",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-1765,PT. YAMAHA MOTOR ELECTRONICS INDONESIA,CUST382,2026-05-19,2026-05-19,ARI,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,5,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,25,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,test,NORMAL
93110546,PT. EUROKARS MOTOR INDONESIA,CUST073,2026-05-19,2026-05-19,SAPX,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-1312,PT. DAIKIN APPLIED SOLUTIONS INDONESIA,CUST053,2026-05-19,2026-05-19,SAPX,Max on 20th in every month,MONTHLY_DATE,20.0,"1,2,3,4,5",Everyday,1,,No (On Schedule),,,HIGH,CUTOFF_NEAR,,,20,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R4,cutoff bulanan atau akhir bulan berada dalam 1-2 hari.,train,HIGH
S202605-1767,PT SHIMA TRADING INDONESIA,CUST498,2026-05-19,2026-05-19,SAPX,End of month ,END_MONTH,0.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-1758,PT. FUJI SEIKI INDONESIA,CUST082,2026-05-19,2026-05-19,SAPX,End of month ,END_MONTH,0.0,"1,2,3,4,5",Everyday,9,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-1311,PT.TERAOKA SEISAKUSHO INDONESIA (BO,CUST342,2026-05-19,2026-05-19,ROHMAN,First week of next month,NEXT_MONTH_FIRST_WEEK,,"1,2,3,4,5",Everyday,14,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,-1,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
S202605-1329,PT. MEIDOH INDONESIA,CUST207,2026-05-19,2026-05-19,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-19,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
